Tab,Row in V3,Review group,Section,Page,Web address,Pick needed,Initial decision,Reason
Main site,399,5 Thin pages nothing links to,News posts,Rochester prep seniors celebrate college choices on senior signing day,https://uncommonschools.org/news/rochester-prep-seniors-celebrate-college-choices-on-senior-signing-day/,yes,Keep,News from 2024; 13 views in 12 months.
Main site,400,5 Thin pages nothing links to,News posts,Bbva podcast doug lemov discusses the effects of reading on students,https://uncommonschools.org/news/bbva-podcast-doug-lemov-discusses-the-effects-of-reading-on-students/,yes,Kill,Old news (2021); 12 views in 12 months.
Main site,401,5 Thin pages nothing links to,News posts,Boston business journal long wait to build new school leaves questions,https://uncommonschools.org/news/boston-business-journal-long-wait-to-build-new-school-leaves-questions/,yes,Kill,Old news (2020); 12 views in 12 months.
Main site,402,5 Thin pages nothing links to,News posts,Data driven counseling for college success,https://uncommonschools.org/news/data-driven-counseling-for-college-success/,yes,Kill,Old news (2019); 12 views in 12 months.
Main site,403,5 Thin pages nothing links to,News posts,Girls rising,https://uncommonschools.org/news/girls-rising/,yes,Kill,Old news (2019); 12 views in 12 months.
Main site,404,5 Thin pages nothing links to,News posts,High school gpa key to predicting bachelors degree attainment,https://uncommonschools.org/news/high-school-gpa-key-to-predicting-bachelors-degree-attainment/,yes,Kill,Old news (2019); 12 views in 12 months.
Main site,405,5 Thin pages nothing links to,News posts,Https www yahoo com news articles newark teacher says ai tools 113000540 htmlguccounter1,https://uncommonschools.org/news/https-www-yahoo-com-news-articles-newark-teacher-says-ai-tools-113000540-htmlguccounter1/,yes,Keep,News from 2026; 12 views in 12 months.
Main site,406,5 Thin pages nothing links to,News posts,North star varsity basketball state title,https://uncommonschools.org/news/north-star-varsity-basketball-state-title/,yes,Kill,Old news (2020); 12 views in 12 months.
Main site,407,5 Thin pages nothing links to,News posts,Stf alumnus pays it forward,https://uncommonschools.org/news/stf-alumnus-pays-it-forward/,yes,Kill,Old news (2019); 12 views in 12 months.
Main site,408,5 Thin pages nothing links to,News posts,Uncommon schools integrate coding lessons,https://uncommonschools.org/news/uncommon-schools-integrate-coding-lessons/,yes,Kill,Old news (2023); 12 views in 12 months.
Main site,409,5 Thin pages nothing links to,News posts,A story of struggle and perseverance,https://uncommonschools.org/news/a-story-of-struggle-and-perseverance/,yes,Kill,Old news (2019); 11 views in 12 months.
Main site,410,5 Thin pages nothing links to,News posts,Boston globe at roxbury prep the rallying cry is were all weve got were all we need,https://uncommonschools.org/news/boston-globe-at-roxbury-prep-the-rallying-cry-is-were-all-weve-got-were-all-we-need/,yes,Kill,Old news (2019); 11 views in 12 months.
Main site,411,5 Thin pages nothing links to,News posts,Kings county politics summer teaching fellowship trains future brooklyn teachers,https://uncommonschools.org/news/kings-county-politics-summer-teaching-fellowship-trains-future-brooklyn-teachers/,yes,Kill,Old news (2020); 11 views in 12 months.
Main site,412,5 Thin pages nothing links to,News posts,Newsweek oped focus making schools better,https://uncommonschools.org/news/newsweek-oped-focus-making-schools-better/,yes,Kill,Old news (2021); 11 views in 12 months.
Main site,413,5 Thin pages nothing links to,News posts,North star students learn about the census,https://uncommonschools.org/news/north-star-students-learn-about-the-census/,yes,Kill,Old news (2019); 11 views in 12 months.
Main site,414,5 Thin pages nothing links to,News posts,Shradha patel named to boston business journals power 50 for 2020,https://uncommonschools.org/news/shradha-patel-named-to-boston-business-journals-power-50-for-2020/,yes,Kill,Old news (2023); 11 views in 12 months.
Main site,415,5 Thin pages nothing links to,News posts,5 seniors at roxbury prep high school earn full ride scholarship to college,https://uncommonschools.org/news/5-seniors-at-roxbury-prep-high-school-earn-full-ride-scholarship-to-college/,yes,Keep,News from 2024; 10 views in 12 months.
Main site,416,5 Thin pages nothing links to,News posts,Tapinto new high school building for camden prep approved,https://uncommonschools.org/news/tapinto-new-high-school-building-for-camden-prep-approved/,yes,Kill,Old news (2021); 10 views in 12 months.
Main site,417,5 Thin pages nothing links to,News posts,Bloomberg uncommon students priority beyond hs graduation,https://uncommonschools.org/news/bloomberg-uncommon-students-priority-beyond-hs-graduation/,yes,Kill,Old news (2021); 9 views in 12 months.
Main site,418,5 Thin pages nothing links to,News posts,Jay matthews teachers use countdown clocks as classroom tool,https://uncommonschools.org/news/jay-matthews-teachers-use-countdown-clocks-as-classroom-tool/,yes,Kill,Old news (2019); 9 views in 12 months.
Main site,419,5 Thin pages nothing links to,News posts,Newark parent activist changes the conversation on charters,https://uncommonschools.org/news/newark-parent-activist-changes-the-conversation-on-charters/,yes,Kill,Old news (2019); 9 views in 12 months.
Main site,420,5 Thin pages nothing links to,News posts,Providing the best possible summer for all kids,https://uncommonschools.org/news/providing-the-best-possible-summer-for-all-kids/,yes,Kill,Old news (2020); 9 views in 12 months.
Main site,421,5 Thin pages nothing links to,News posts,The three pronged approach to prepare students for college,https://uncommonschools.org/news/the-three-pronged-approach-to-prepare-students-for-college/,yes,Kill,Old news (2019); 9 views in 12 months.
Main site,422,5 Thin pages nothing links to,News posts,All students deserve to grapple with the hard truth,https://uncommonschools.org/newark/all-students-deserve-to-grapple-with-the-hard-truth/,yes,Kill,Old news (2023); 8 views in 12 months.
Main site,423,5 Thin pages nothing links to,News posts,Charter school growth fund how teachers quickly respond to student work,https://uncommonschools.org/news/charter-school-growth-fund-how-teachers-quickly-respond-to-student-work/,yes,Kill,Old news (2020); 8 views in 12 months.
Main site,424,5 Thin pages nothing links to,News posts,Education next roxbury prep withdraws proposal for new high school location,https://uncommonschools.org/news/education-next-roxbury-prep-withdraws-proposal-for-new-high-school-location/,yes,Kill,Old news (2022); 8 views in 12 months.
Main site,425,5 Thin pages nothing links to,News posts,News12 brooklyn students start day with meditation yoga,https://uncommonschools.org/news/news12-brooklyn-students-start-day-with-meditation-yoga/,yes,Kill,Old news (2021); 8 views in 12 months.
Main site,426,5 Thin pages nothing links to,News posts,Students at brooklyn school learn music through immersion,https://uncommonschools.org/news/students-at-brooklyn-school-learn-music-through-immersion/,yes,Kill,Old news (2019); 8 views in 12 months.
Main site,427,5 Thin pages nothing links to,News posts,Three charter school leaders for ending single test high school admissions black and latino kids can perform at the highest levels,https://uncommonschools.org/news/three-charter-school-leaders-for-ending-single-test-high-school-admissions-black-and-latino-kids-can-perform-at-the-highest-levels/,yes,Kill,Old news (2019); 8 views in 12 months.
Main site,428,5 Thin pages nothing links to,News posts,Boston globe editorial roxbury preps future offers chance for healing,https://uncommonschools.org/news/boston-globe-editorial-roxbury-preps-future-offers-chance-for-healing/,yes,Kill,Old news (2020); 7 views in 12 months.
Main site,429,5 Thin pages nothing links to,News posts,Bringing stem into dance,https://uncommonschools.org/news/bringing-stem-into-dance/,yes,Kill,Old news (2019); 7 views in 12 months.
Main site,430,5 Thin pages nothing links to,News posts,Charter district school collaboration,https://uncommonschools.org/news/charter-district-school-collaboration/,yes,Kill,Old news (2019); 7 views in 12 months.
Main site,431,5 Thin pages nothing links to,News posts,Inspired by black male teachers newark native returns to pay it forward,https://uncommonschools.org/news/inspired-by-black-male-teachers-newark-native-returns-to-pay-it-forward/,yes,Kill,Old news (2020); 7 views in 12 months.
Main site,432,5 Thin pages nothing links to,News posts,Opinion if black lives matter city would hold hearing for roxbury prep,https://uncommonschools.org/news/opinion-if-black-lives-matter-city-would-hold-hearing-for-roxbury-prep/,yes,Kill,Old news (2020); 7 views in 12 months.
Main site,433,5 Thin pages nothing links to,News posts,Teaching today podcast excellence boys principal joins discussion on single sex schools,https://uncommonschools.org/news/teaching-today-podcast-excellence-boys-principal-joins-discussion-on-single-sex-schools/,yes,Kill,Old news (2021); 7 views in 12 months.
Main site,434,5 Thin pages nothing links to,News posts,Uncommon new york city elementary school featured on,https://uncommonschools.org/news/uncommon-new-york-city-elementary-school-featured-on/,yes,Keep,News from 2024; 7 views in 12 months.
Main site,435,5 Thin pages nothing links to,News posts,Chalkbeat ny parents educators emphasize need for mental health supports,https://uncommonschools.org/news/chalkbeat-ny-parents-educators-emphasize-need-for-mental-health-supports/,yes,Kill,Old news (2021); 6 views in 12 months.
Main site,436,5 Thin pages nothing links to,News posts,Nsa student suprises people with career choice,https://uncommonschools.org/news/nsa-student-suprises-people-with-career-choice/,yes,Kill,Old news (2023); 6 views in 12 months.
Main site,437,5 Thin pages nothing links to,News posts,Spectrum news1 rochester prep works to close covid related learning loss,https://uncommonschools.org/news/spectrum-news1-rochester-prep-works-to-close-covid-related-learning-loss/,yes,Kill,Old news (2021); 6 views in 12 months.
Main site,438,5 Thin pages nothing links to,News posts,Uncommon teacher nominated for penn mutual award,https://uncommonschools.org/news/uncommon-teacher-nominated-for-penn-mutual-award/,yes,Kill,Old news (2019); 6 views in 12 months.
Main site,439,5 Thin pages nothing links to,News posts,Usa today op ed teacher training overhaul,https://uncommonschools.org/news/usa-today-op-ed-teacher-training-overhaul/,yes,Kill,Old news (2021); 6 views in 12 months.
Main site,440,5 Thin pages nothing links to,News posts,Brooklyn patch educators march in solidarity with asian americans,https://uncommonschools.org/news/brooklyn-patch-educators-march-in-solidarity-with-asian-americans/,yes,Kill,Old news (2021); 5 views in 12 months.
Main site,441,5 Thin pages nothing links to,News posts,Chalkbeat north star students launch wellness council,https://uncommonschools.org/news/chalkbeat-north-star-students-launch-wellness-council/,yes,Kill,Old news (2021); 5 views in 12 months.
Main site,442,5 Thin pages nothing links to,News posts,Kpvi uncommon director of college completion recognized for expanding education opportunities,https://uncommonschools.org/news/kpvi-uncommon-director-of-college-completion-recognized-for-expanding-education-opportunities/,yes,Kill,Old news (2021); 5 views in 12 months.
Main site,443,5 Thin pages nothing links to,News posts,Nj latino news high school seniors awarded 75000 in scholarships,https://uncommonschools.org/news/nj-latino-news-high-school-seniors-awarded-75000-in-scholarships/,yes,Kill,Old news (2020); 5 views in 12 months.
Main site,444,5 Thin pages nothing links to,News posts,Op ed hbcus are a beacon of promise and pride,https://uncommonschools.org/news/op-ed-hbcus-are-a-beacon-of-promise-and-pride/,yes,Kill,Old news (2021); 5 views in 12 months.
Main site,445,5 Thin pages nothing links to,News posts,Researchers find top results for newark boston pittsburgh,https://uncommonschools.org/news/researchers-find-top-results-for-newark-boston-pittsburgh/,yes,Kill,Old news (2020); 5 views in 12 months.
Main site,446,5 Thin pages nothing links to,News posts,Rochester beacon rochester prep educators kept students dreams alive,https://uncommonschools.org/news/rochester-beacon-rochester-prep-educators-kept-students-dreams-alive/,yes,Kill,Old news (2021); 5 views in 12 months.
Main site,447,5 Thin pages nothing links to,News posts,Tapinto newark newark charters release standards for reopening schools,https://uncommonschools.org/news/tapinto-newark-newark-charters-release-standards-for-reopening-schools/,yes,Kill,Old news (2020); 5 views in 12 months.
Main site,448,5 Thin pages nothing links to,News posts,11 rochester prep alumni join rit city scholars program,https://uncommonschools.org/news/11-rochester-prep-alumni-join-rit-city-scholars-program/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,449,5 Thin pages nothing links to,News posts,Bellwether education report uncommons responses to covid 19,https://uncommonschools.org/news/bellwether-education-report-uncommons-responses-to-covid-19/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,450,5 Thin pages nothing links to,News posts,Camden prep students beat the odds,https://uncommonschools.org/news/camden-prep-students-beat-the-odds/,yes,Keep,News from 2024; 4 views in 12 months.
Main site,451,5 Thin pages nothing links to,News posts,Cannon design students wellness virtual exercise,https://uncommonschools.org/news/cannon-design-students-wellness-virtual-exercise/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,452,5 Thin pages nothing links to,News posts,Chalkbeat newark classrooms reopen,https://uncommonschools.org/news/chalkbeat-newark-classrooms-reopen/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,453,5 Thin pages nothing links to,News posts,Fordham institute report lessons from leading charter networks transitioning to remote learning,https://uncommonschools.org/news/fordham-institute-report-lessons-from-leading-charter-networks-transitioning-to-remote-learning/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,454,5 Thin pages nothing links to,News posts,How a camden school changed my sons life,https://uncommonschools.org/news/how-a-camden-school-changed-my-sons-life/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,455,5 Thin pages nothing links to,News posts,How one charter network recruits diverse teachers,https://uncommonschools.org/news/how-one-charter-network-recruits-diverse-teachers/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,456,5 Thin pages nothing links to,News posts,Juliana worrell selected for broad centers inaugural cohort of public education leadership fellows,https://uncommonschools.org/news/juliana-worrell-selected-for-broad-centers-inaugural-cohort-of-public-education-leadership-fellows/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,457,5 Thin pages nothing links to,News posts,Kings county politics 10000 uncommon schools students throughout brooklyn blaze path for blended learning,https://uncommonschools.org/news/kings-county-politics-10000-uncommon-schools-students-throughout-brooklyn-blaze-path-for-blended-learning/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,458,5 Thin pages nothing links to,News posts,Newark principal honored by city council,https://uncommonschools.org/news/newark-principal-honored-by-city-council/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,459,5 Thin pages nothing links to,News posts,Njtv charter and district teachers learn side by side in newark,https://uncommonschools.org/news/njtv-charter-and-district-teachers-learn-side-by-side-in-newark/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,460,5 Thin pages nothing links to,News posts,Ny1 uncommon schools collaborates with nyc doe in harlem,https://uncommonschools.org/news/ny1-uncommon-schools-collaborates-with-nyc-doe-in-harlem/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,461,5 Thin pages nothing links to,News posts,Patch com roxbury principal honored by boston red sox,https://uncommonschools.org/news/patch-com-roxbury-principal-honored-by-boston-red-sox/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,462,5 Thin pages nothing links to,News posts,Patch ucc receives grant for hbcu empowerment tour,https://uncommonschools.org/news/patch-ucc-receives-grant-for-hbcu-empowerment-tour/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,463,5 Thin pages nothing links to,News posts,Rochester prep alumna joins rits 10th class of destler johnson rochester city scholars,https://uncommonschools.org/news/rochester-prep-alumna-joins-rits-10th-class-of-destler-johnson-rochester-city-scholars/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,464,5 Thin pages nothing links to,News posts,Roxbury prep alumni highlighted by national alliance for public charter schools,https://uncommonschools.org/news/roxbury-prep-alumni-highlighted-by-national-alliance-for-public-charter-schools/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,465,5 Thin pages nothing links to,News posts,Student work featured bklyn fashion academy,https://uncommonschools.org/news/student-work-featured-bklyn-fashion-academy/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,466,5 Thin pages nothing links to,News posts,Tapinto camden camden schools receive grants to help with covid 19,https://uncommonschools.org/news/tapinto-camden-camden-schools-receive-grants-to-help-with-covid-19/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,467,5 Thin pages nothing links to,News posts,Tapinto north star academy class of 2021 celebrates graduation,https://uncommonschools.org/news/tapinto-north-star-academy-class-of-2021-celebrates-graduation/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,468,5 Thin pages nothing links to,News posts,The 74 summer rocket program connects girls to stem,https://uncommonschools.org/news/the-74-summer-rocket-program-connects-girls-to-stem/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,469,5 Thin pages nothing links to,News posts,Uncommon charter hs recognized 2021 pltw distinguished hs,https://uncommonschools.org/news/uncommon-charter-hs-recognized-2021-pltw-distinguished-hs/,yes,Kill,Old news (2021); 4 views in 12 months.
Main site,470,5 Thin pages nothing links to,News posts,Uncommon reflection mourning,https://uncommonschools.org/news/uncommon-reflection-mourning/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,471,5 Thin pages nothing links to,News posts,Washington post students learn from people who love them,https://uncommonschools.org/news/washington-post-students-learn-from-people-who-love-them/,yes,Kill,Old news (2020); 4 views in 12 months.
Main site,472,5 Thin pages nothing links to,News posts,When educators act like gateways rather than gatekeepers students are more likely to get through college,https://uncommonschools.org/news/when-educators-act-like-gateways-rather-than-gatekeepers-students-are-more-likely-to-get-through-college/,yes,Kill,Old news (2019); 4 views in 12 months.
Main site,473,5 Thin pages nothing links to,News posts,Aspiring investment banker switches paths to teach full time,https://uncommonschools.org/news/aspiring-investment-banker-switches-paths-to-teach-full-time/,yes,Kill,Old news (2019); 3 views in 12 months.
Main site,474,5 Thin pages nothing links to,News posts,Brooklyn paper summer school aims to reclaim what covid stole,https://uncommonschools.org/news/brooklyn-paper-summer-school-aims-to-reclaim-what-covid-stole/,yes,Kill,Old news (2021); 3 views in 12 months.
Main site,475,5 Thin pages nothing links to,News posts,Education next alumni receive support to navigate transition to college,https://uncommonschools.org/news/education-next-alumni-receive-support-to-navigate-transition-to-college/,yes,Kill,Old news (2021); 3 views in 12 months.
Main site,476,5 Thin pages nothing links to,News posts,Forbes feature roxbury students find passion,https://uncommonschools.org/news/forbes-feature-roxbury-students-find-passion/,yes,Kill,Old news (2021); 3 views in 12 months.
Main site,477,5 Thin pages nothing links to,News posts,Https www tapinto net towns newark sections education articles karim ahmad of newark s north star school wins mlk oratorical competition,https://uncommonschools.org/news/https-www-tapinto-net-towns-newark-sections-education-articles-karim-ahmad-of-newark-s-north-star-school-wins-mlk-oratorical-competition/,yes,Keep,News from 2026; 3 views in 12 months.
Main site,478,5 Thin pages nothing links to,News posts,News10 camden prep close covid learning loss,https://uncommonschools.org/news/news10-camden-prep-close-covid-learning-loss/,yes,Kill,Old news (2021); 3 views in 12 months.
Main site,479,5 Thin pages nothing links to,News posts,North star academy stanford 2021 credo,https://uncommonschools.org/news/north-star-academy-stanford-2021-credo/,yes,Kill,Old news (2021); 3 views in 12 months.
Main site,480,5 Thin pages nothing links to,News posts,North star student awarded njs top youth volunteer,https://uncommonschools.org/news/north-star-student-awarded-njs-top-youth-volunteer/,yes,Kill,Old news (2020); 3 views in 12 months.
Main site,481,5 Thin pages nothing links to,News posts,Rochester prep celebrates graduation and 100 college acceptance,https://uncommonschools.org/news/rochester-prep-celebrates-graduation-and-100-college-acceptance/,yes,Kill,Old news (2019); 3 views in 12 months.
Main site,482,5 Thin pages nothing links to,News posts,The final round brett peiser uncommon adapting hybrid learning,https://uncommonschools.org/news/the-final-round-brett-peiser-uncommon-adapting-hybrid-learning/,yes,Kill,Old news (2020); 3 views in 12 months.
Main site,483,5 Thin pages nothing links to,News posts,The oprah magazine michelle obamas high school surprise,https://uncommonschools.org/news/the-oprah-magazine-michelle-obamas-high-school-surprise/,yes,Kill,Old news (2019); 3 views in 12 months.
Main site,484,5 Thin pages nothing links to,News posts,Uncommon partners citis e for education campaign 6th year,https://uncommonschools.org/news/uncommon-partners-citis-e-for-education-campaign-6th-year/,yes,Kill,Old news (2020); 3 views in 12 months.
Main site,485,5 Thin pages nothing links to,News posts,At uncommon schools helping girls rise,https://uncommonschools.org/news/at-uncommon-schools-helping-girls-rise/,yes,Kill,Old news (2019); 2 views in 12 months.
Main site,486,5 Thin pages nothing links to,News posts,Https www tapinto net towns newark sections education articles parents learning english graduate from north star academy s adult education program,https://uncommonschools.org/news/https-www-tapinto-net-towns-newark-sections-education-articles-parents-learning-english-graduate-from-north-star-academy-s-adult-education-program/,yes,Keep,News from 2026; 2 views in 12 months.
Main site,487,5 Thin pages nothing links to,News posts,Kings county politics uncommon halloween voter event,https://uncommonschools.org/news/kings-county-politics-uncommon-halloween-voter-event/,yes,Kill,Old news (2020); 2 views in 12 months.
Main site,488,5 Thin pages nothing links to,News posts,Nj ed report parent special needs student thankful high school,https://uncommonschools.org/news/nj-ed-report-parent-special-needs-student-thankful-high-school/,yes,Kill,Old news (2021); 2 views in 12 months.
Main site,489,5 Thin pages nothing links to,News posts,Popsugar more black teachers can benefit all students,https://uncommonschools.org/news/popsugar-more-black-teachers-can-benefit-all-students/,yes,Kill,Old news (2020); 2 views in 12 months.
Main site,490,5 Thin pages nothing links to,News posts,Seck barry on camden preps remote learning during the pandemic,https://uncommonschools.org/news/seck-barry-on-camden-preps-remote-learning-during-the-pandemic/,yes,Kill,Old news (2020); 2 views in 12 months.
Main site,491,5 Thin pages nothing links to,News posts,Setting students up for success college and beyond,https://uncommonschools.org/news/setting-students-up-for-success-college-and-beyond/,yes,Kill,Old news (2023); 2 views in 12 months.
Main site,492,5 Thin pages nothing links to,News posts,Tapinto camden opinion how i found a school i love,https://uncommonschools.org/news/tapinto-camden-opinion-how-i-found-a-school-i-love/,yes,Kill,Old news (2021); 2 views in 12 months.
Main site,493,5 Thin pages nothing links to,News posts,Tapinto newark schools get students excited for back to school,https://uncommonschools.org/news/tapinto-newark-schools-get-students-excited-for-back-to-school/,yes,Kill,Old news (2021); 2 views in 12 months.
Main site,494,5 Thin pages nothing links to,News posts,Patch com bbq for a cause celebrates newark,https://uncommonschools.org/news/patch-com-bbq-for-a-cause-celebrates-newark/,yes,Kill,Old news (2021); 1 views in 12 months.
Main site,495,5 Thin pages nothing links to,News posts,Student makes masks health care workers,https://uncommonschools.org/news/student-makes-masks-health-care-workers/,yes,Kill,Old news (2020); 1 views in 12 months.
Main site,496,5 Thin pages nothing links to,News posts,Tapinto newark alumnus returns to alma mater teach,https://uncommonschools.org/news/tapinto-newark-alumnus-returns-to-alma-mater-teach/,yes,Kill,Old news (2020); 1 views in 12 months.
Main site,497,5 Thin pages nothing links to,News posts,Whyy educators try to solve problem that keeps changing during pandemic,https://uncommonschools.org/news/whyy-educators-try-to-solve-problem-that-keeps-changing-during-pandemic/,yes,Kill,Old news (2020); 1 views in 12 months.
Main site,498,5 Thin pages nothing links to,News posts,Essex county chapter of the links north star academy distribute thousands of winter gloves in newark,https://uncommonschools.org/news/essex-county-chapter-of-the-links-north-star-academy-distribute-thousands-of-winter-gloves-in-newark/,yes,Keep,News from 2026; 0 views in 12 months.
Main site,499,5 Thin pages nothing links to,Social media posts,All 141 social media posts (one pick covers the set),,set,Kill,"Social posts captured as pages; 1,402 views across 141 pages in 12 months."
Main site,500,5 Thin pages nothing links to,Social media posts,Dream like martin%e2%a0%80lead like harriet %e2%a0%80fight like malcolm%e2%a0%80think like garvey %e2%a0%80write like maya%e2%a0%80build like madam cj%e2%a0%80speak like frederick%e2%a0%80educa,https://uncommonschools.org/socials/dream-like-martin%e2%a0%80lead-like-harriet-%e2%a0%80fight-like-malcolm%e2%a0%80think-like-garvey-%e2%a0%80write-like-maya%e2%a0%80build-like-madam-cj%e2%a0%80speak-like-frederick%e2%a0%80educa/,in a set,Kill,Social post captured as a page; 271 views in 12 months.
Main site,501,5 Thin pages nothing links to,Social media posts,Hold fast to dreams for if dreams die life is a broken winged bird that cannot fly %e2%a0%80 langston hughes,https://uncommonschools.org/socials/hold-fast-to-dreams-for-if-dreams-die-life-is-a-broken-winged-bird-that-cannot-fly-%e2%a0%80-langston-hughes/,in a set,Kill,Social post captured as a page; 69 views in 12 months.
Main site,502,5 Thin pages nothing links to,Social media posts,North star academy alexander street elementary students celebrated historical figures like martin luther king jr at the schools morning circle,https://uncommonschools.org/socials/north-star-academy-alexander-street-elementary-students-celebrated-historical-figures-like-martin-luther-king-jr-at-the-schools-morning-circle/,in a set,Kill,Social post captured as a page; 39 views in 12 months.
Main site,503,5 Thin pages nothing links to,Social media posts,Leaving behind nights of terror and fear%e2%a0%80i rise%e2%a0%80into a daybreak thats wondrously clear%e2%a0%80i rise%e2%a0%80bringing the gifts that my ancestors gave%e2%a0%80i am the,https://uncommonschools.org/socials/leaving-behind-nights-of-terror-and-fear%e2%a0%80i-rise%e2%a0%80into-a-daybreak-thats-wondrously-clear%e2%a0%80i-rise%e2%a0%80bringing-the-gifts-that-my-ancestors-gave%e2%a0%80i-am-the/,in a set,Kill,Social post captured as a page; 33 views in 12 months.
Main site,504,5 Thin pages nothing links to,Social media posts,We were thrilled to have two uncommon staff members as panelists at last weeks yale school of management education leadership conference%e2%a0%80%e2%a0%80our senior director of data analyt,https://uncommonschools.org/socials/we-were-thrilled-to-have-two-uncommon-staff-members-as-panelists-at-last-weeks-yale-school-of-management-education-leadership-conference%e2%a0%80%e2%a0%80our-senior-director-of-data-analyt/,in a set,Kill,Social post captured as a page; 33 views in 12 months.
Main site,505,5 Thin pages nothing links to,Social media posts,Congratulations to nikki bowen senior principal at excellence boys and excellence girls for being named a woman of excellence by senator_hamilton,https://uncommonschools.org/socials/congratulations-to-nikki-bowen-senior-principal-at-excellence-boys-and-excellence-girls-for-being-named-a-woman-of-excellence-by-senator_hamilton/,in a set,Kill,Social post captured as a page; 28 views in 12 months.
Main site,506,5 Thin pages nothing links to,Social media posts,When you need to get the whole squad in the picture%e2%a0%80%e2%a0%80great photo troy prep elementary,https://uncommonschools.org/socials/when-you-need-to-get-the-whole-squad-in-the-picture%e2%a0%80%e2%a0%80great-photo-troy-prep-elementary/,in a set,Kill,Social post captured as a page; 24 views in 12 months.
Main site,507,5 Thin pages nothing links to,Social media posts,Today we remember dr martin luther king jr whose life was tragically cut short by an assassins bullet 50 years ago today %e2%a0%80%e2%a0%80his words his actions and his vision for a more jus,https://uncommonschools.org/socials/today-we-remember-dr-martin-luther-king-jr-whose-life-was-tragically-cut-short-by-an-assassins-bullet-50-years-ago-today-%e2%a0%80%e2%a0%80his-words-his-actions-and-his-vision-for-a-more-jus/,in a set,Kill,Social post captured as a page; 23 views in 12 months.
Main site,508,5 Thin pages nothing links to,Social media posts,How can students use their voices for change and call for an end to violence in their communities%e2%a0%80%e2%a0%80leadership prep canarsie partnered with the crown heights community mediation cent,https://uncommonschools.org/socials/how-can-students-use-their-voices-for-change-and-call-for-an-end-to-violence-in-their-communities%e2%a0%80%e2%a0%80leadership-prep-canarsie-partnered-with-the-crown-heights-community-mediation-cent/,in a set,Kill,Social post captured as a page; 20 views in 12 months.
Main site,509,5 Thin pages nothing links to,Social media posts,The most luxurious possession the richest treasure anybody has is his personal dignity %e2%a0%80 jackie robinson,https://uncommonschools.org/socials/the-most-luxurious-possession-the-richest-treasure-anybody-has-is-his-personal-dignity-%e2%a0%80-jackie-robinson/,in a set,Kill,Social post captured as a page; 19 views in 12 months.
Main site,510,5 Thin pages nothing links to,Social media posts,North star academy vailsburg middle school students received a devilishly good surprise as the njdevils mascot and former player ken daneyko visited the school%e2%a0%80%e2%a0%80thanks for stopping,https://uncommonschools.org/socials/north-star-academy-vailsburg-middle-school-students-received-a-devilishly-good-surprise-as-the-njdevils-mascot-and-former-player-ken-daneyko-visited-the-school%e2%a0%80%e2%a0%80thanks-for-stopping/,in a set,Kill,Social post captured as a page; 18 views in 12 months.
Main site,511,5 Thin pages nothing links to,Social media posts,There is no longer a closed door between district and charter schools that door is open go out there and find out where the pockets of excellence exist share what you are learning the bes,https://uncommonschools.org/socials/there-is-no-longer-a-closed-door-between-district-and-charter-schools-that-door-is-open-go-out-there-and-find-out-where-the-pockets-of-excellence-exist-share-what-you-are-learning-the-bes/,in a set,Kill,Social post captured as a page; 18 views in 12 months.
Main site,512,5 Thin pages nothing links to,Social media posts,We were proud to have the opportunity to present about our partnership with the new york city department of education at the aera_edresearch conference%e2%a0%80%e2%a0%80were always excited to sh,https://uncommonschools.org/socials/we-were-proud-to-have-the-opportunity-to-present-about-our-partnership-with-the-new-york-city-department-of-education-at-the-aera_edresearch-conference%e2%a0%80%e2%a0%80were-always-excited-to-sh/,in a set,Kill,Social post captured as a page; 18 views in 12 months.
Main site,513,5 Thin pages nothing links to,Social media posts,Today was a big day at leadership prep ocean hill as students learned the school was named a national blue ribbon school an honor given to only the highest performing schools in the country news 1,https://uncommonschools.org/socials/today-was-a-big-day-at-leadership-prep-ocean-hill-as-students-learned-the-school-was-named-a-national-blue-ribbon-school-an-honor-given-to-only-the-highest-performing-schools-in-the-country-news-1/,in a set,Kill,Social post captured as a page; 17 views in 12 months.
